Text,Label
"It has been suggested that drugs combining activities of selective serotonin reuptake inhibitor and 5-HT1A receptor agonist
may form a novel strategy for higher therapeutic efficacy of antidepressant. The present study aimed to examine the
pharmacology of YL-0919, a novel synthetic compound with combined high affinity and selectivity for serotonin transporter
and 5-HT1A receptors. We performed in vitro binding and function assays and in vivo behavioral tests to assess the
pharmacological properties and antidepressant-like efficacy of YL-0919. YL-0919 displayed high affinity in vitro to both 5-
HT1A receptor and 5-HT transporter prepared from rat cortical tissue. It exerted an inhibitory effect on forskolin-stimulated
cAMP formation and potently inhibited 5-HT uptake in both rat cortical synaptosomes and recombinant cells. After acute
p.o. administration, very low doses of YL-0919 reduced the immobility time in tail suspension test and forced swimming test
in mice and rats, with no significant effect on locomotor activity in open field test. Furthermore, WAY-100635 (a selective 5-
HT1A receptor antagonist, 0.3 mg/kg) significantly blocked the effect of YL-0919 in tail suspension test and forced swimming
test. In addition, chronic YL-0919 treatment significantly reversed the depressive-like behaviors in chronically stressed rats.
These findings suggest that YL-0919, a novel structure compound, exerts dual effect on the serotonergic system, as both 5-
HT1A receptor agonist and 5-HT uptake blocker, showing remarkable antidepressant effects in animal models. Therefore, YL0919 may be used as a new option for the treatment of major depressive disorder.",0
"Background A negative impact of premature birth on health in adulthood is well established. However, it is not clear whether healthy adults who were born prematurely but have similar physical activity levels compared to adults born at term have a reduced maximal aerobic exercise capacity (maximum oxygen consumption [VO2max]). Objective We aimed to determine the efect of premature birth on aerobic exercise capacity and lung function in otherwise healthy, physically active individuals. Methods A broad literature search was conducted in the PubMed database. Search terms included ‘preterm/premature birth’ and ‘aerobic exercise capacity’. Maximal oxygen consumption (mL/kg/min) was the main variable required for inclusion, and amongst those investigations forced expiratory volume in 1 s (FEV1, % predicted) was evaluated as a secondary parameter. For the systematic review, 29 eligible articles were identifed. Importantly, for the meta-analysis, only studies which reported similar activity levels between healthy controls and the preterm group/s were included, resulting in 11 articles for the VO2max analysis (total n=688, n=333 preterm and n=355 controls) and six articles for the FEV1 analysis (total n=296, n=147 preterm and n=149 controls). Data were analysed using Review Manager ( Review Manager. RevMan version 5.4 software. The Cochrane Collaboration; 2020.). Results The systematic review highlighted the broad biological impact of premature birth. While the current literature tends to suggest that there may be a negative impact of premature birth on both VO2max and FEV1, several studies did not control for the potential infuence of difering physical activity levels between study groups, thus justifying a focused meta-analysis of selected studies. Our meta-analysis strongly suggests that prematurely born humans who are otherwise healthy do have a reduced VO2max efect: Z=5.32) and FEV1 (mean diference−9.22 [95% confdence interval−13.54,−4.89] % predicted, p<0.0001, test
for overall efect: Z=4.18) independent of physical activity levels.
Conclusions Whilst the current literature contains mixed fndings on the efects of premature birth on VO2max and FEV1,
our focused meta-analysis suggests that even when physical activity levels are similar, there is a clear reduction in VO2max
and FEV1 in adults born prematurely. Therefore, future studies should carefully investigate the underlying determinants of
the reduced VO2max and FEV1 in humans born preterm, and develop strategies to improve their maximal aerobic capacity
and lung function beyond physical activity interventions.",0
"The COVID-19 pandemic has impacted all aspects of people's lives, with many tasks and services now being delivered online in the aim of reducing contact and preventing further transmission of the disease. This has resulted in the increase in the use of portable electronic devices (i.e., mobile phones, smartphones, laptops), which emit different frequencies of electromagnetic field (EMF) radiation. However, the evidence on the harmful impacts of EMF radiation exposure on the human body, particularly on the abdomen of the female body during pregnancy, is scarce. Further, the related studies in the literature have yet to be systematically reviewed. If unmanaged, the absorption of EMF radiation by the maternal abdomen during pregnancy is associated with serious birth and infant outcomes.",0
"Learning to write involves integrating motor production and visual perception to develop orthographic representations. This study tries to test the effect of hand movement training as a pathway to neural correlates for L2 Chinese and L2 English readers. Twenty L2 Chinese and 20 L2 English (n = 20) adults participated in both behavioral and electroencephalogram (EEG) experiments. We designed six learning conditions: Hand Writing Chinese (HC), Viewing Chinese (VC), Drawing followed by Character Recognition in Chinese (DC), Hand Writing English (HE), Viewing English (VE), and Drawing followed by Word Recognition in English (DE). Behavioral and EEG results demonstrated that drawing facilitated visual word recognition in Chinese compared to viewing. The findings imply that hand movement could strengthen the neural processing and improve behavioral performance in Chinese character recognition for L2 Chinese learners and English word recognition for L2 Chinese learners. Furthermore, N170 amplitude at the drawing condition was positively correlated with N400 amplitudes. Thus, the early visual word recognition neural indicator (e.g., N170) was predictive of the late neural indicator of semantic processing (e.g., N400), suggesting that hand movement facilitates the neural correlates between early word recognition and later comprehension.",0
"To study the effect of miRNA‐200b on hepatic fibrosis induced by CCl4 in mice.
The C59BL/6 mice were randomly divided into three groups (normal control
[NC], CCLR model [Model], and CCl4 + miRNA‐200b [miRNA]). The hepatic
fibrosis was induced by CCl4 injected subcutaneously twice per week in Model
and miRNA groups. After 6 weeks building model, the mice of miRNA group
were injected the miRNA‐200b from caudal vein twice per week. The mice of
Model and miRNA groups were continuously fed for 3 weeks. The IL‐1β, IL‐6,
and TNF‐α concentrations of serum were measured by enzyme‐linked
immunosorbent assay. The hepatic tissues of difference groups were observed
by hematoxylin and eosin (H&E) staining, sirius red staining, Masson staining,
and terminal deoxynucleotidyl transferase dUTP nick end labeling assay and
measured toll‐like receptor 4 (TLR4) and nuclear factor‐κB (NF‐κB) proteins
expressions by western blot assay. The correlation between miRNA‐200b and
TLR4 were analyzed by dual luciferase target assay. Compared with NC group,
the interleukin‐1β (IL‐1β), IL‐6, and tumor necrosis factor‐α (TNF‐α)
concentrations of Model group were significantly upregulated (P < 0.05,
respectively). With miRNA‐200b overexpression, the IL‐1β, IL‐6, and TNF‐α
concentrations were significantly suppressed (P < 0.05, respectively). The
pathologies were improved by H&E staining, sirius red staining, and Masson
staining; meanwhile, the hepatic cell apoptosis rate was significantly suppressed
(P < 0.05). The TLR4 and NF‐κB protein expressions of miRNA group were
significantly suppressed compared with the Model group (P < 0.05, respectively). By dual luciferase target assay, the TLR4 was a target gene of miRNA‐
200b. The miRNA‐200b upregulation improved hepatic fibrosis induced by CCl4
via regulation of TLR4 in vivo",0
"Background
Smoking is widespread at all ages in Saudi society. In addition, complaints of vertigo are common. A key problem is how smoking affects vertigo and, thus, quality of life. Researchers have investigated the association between smoking and vertigo and found that smoking may be a risk factor for vertigo, but this association is not clear. The current study aims to investigate the association between smoking and vertigo.
Materials and methods
We conducted a cross-sectional study from March 2022 to January 2023 to investigate the effect of smoking on vertigo in Saudi Arabia’s adult population.
Results
We found that smokers were more prone to vertigo than non-smokers. In addition, the severity of vertigo increases as the number of cigarettes smoked or the length of time in years that the person has smoked increases.
Conclusion
The findings of the study should inspire more research into the impact of demographic factors on vertigo among smokers.",0
"Skip to main content
Remove Tags.ipynb
Remove Tags.ipynb_

[10]
1s
</kwd-group>
""""""

# Remove tags
clean_text = re.sub(r""<[^>]+>"", """", text)
print(clean_text.strip())

The long-term use of calcium hydroxide, or Ca(OH)2, on dentin has been established in the literature. However, scarce data is available on dentin wettability with Ca(OH)2.
Aim
The present study was conducted to assess the outcomes of Ca(OH)2 use on the wettability of dentin following two and four weeks of using sealers of bioceramic (BC) and Tubli-Seal™ in the root canal.
Methods
In this study, 168 specimens were divided into 12 groups of 14 specimens each and were numbered from G1 to G12. G1-G6 groups were tested with Tubli-Seal. Sterile water irrigation was reserved for G1 for two weeks (14 days) followed by two minutes treatment with 6% sodium hypochlorite (NaOCl) chemical irrigation and 17% EDTA (10 ml). G2 and G3 were subjected to Ca(OH)2 (0.1 ml of UltraCal) for two weeks followed by 10ml sterile water irrigation for two minutes with chemical irrigation. G4 to G6 were given similar treatment for four weeks. G7-G12 were assessed for BC sealer similarly to G1-G6. Two and four weeks of incubation with sterile water or Ca(OH)2 was done in 100% humidity at 37°C. SEM and EDX were done to evaluate the surface morphology of G1 and G6, and results were formed. 
Results
Significantly smaller contact angles were seen for Tubli-Seal (G1 to G6) compared to BC (G7 to G12) with p
Conclusion
Better dentin wettability is seen with Tubli-seal compared to BC sealer. A smaller contact angle between root canal sealers and dentin is seen in the remaining calcium hydroxide samples. Also, calcium hydroxide can be removed from the polished dentin surface with two minutes of irrigation with 17% EDTA and 6% NaOCl.


endodontics
root canal sealers
dentin wettability
chemical irrigation
ca(oh)2
Colab paid products - Cancel contracts here

  0s
completed at 9:19 PM The content published in Cureus is the result of clinical experience and/or research by independent individuals or organizations. Cureus is not responsible for the scientific accuracy or reliability of data or conclusions published herein. All content published within Cureus is intended only for educational, research and reference purposes. Additionally, articles published within Cureus should not be deemed a suitable substitute for the advice of a qualified health care professional. Do not disregard or avoid professional medical advice due to content published within Cureus",0
"Background Pharmacotherapy provides an option for adults with overweight and obesity to reduce their bodyweight if
lifestyle modifications fail. We summarised the latest evidence for the benefits and harms of weight-lowering drugs.
Methods This systematic review and network meta-analysis included searches of PubMed, Embase, and Cochrane
Library (CENTRAL) from inception to March 23, 2021, for randomised controlled trials of weight-lowering drugs in
adults with overweight and obesity. We performed frequentist random-effect network meta-analyses to summarise
the evidence and applied the Grading of Recommendations Assessment, Development, and Evaluation frameworks
to rate the certainty of evidence, calculate the absolute effects, categorise interventions, and present the findings. The
study was registered with PROSPERO, CRD 42021245678.
Findings 14 605 citations were identified by our search, of which 143 eligible trials enrolled 49 810 participants. Except
for levocarnitine, all drugs lowered bodyweight compared with lifestyle modification alone; all subsequent numbers
refer to comparisons with lifestyle modification. High to moderate certainty evidence established phentermine–
topiramate as the most effective in lowering weight (odds ratio [OR] of ≥5% weight reduction 8·02, 95% CI
5·24 to 12·27; mean difference [MD] of percentage bodyweight change −7·97, 95% CI −9·28 to −6·66) followed by
GLP-1 receptor agonists (OR 6·33, 95% CI 5·00 to 8·00; MD −5·76, 95% CI −6·30 to −5·21). Naltrexone–bupropion
(OR 2·69, 95% CI 2·11 to 3·43), phentermine–topiramate (2·40, 1·69 to 3·42), GLP-1 receptor agonists (2·17,
1·71 to 2·77), and orlistat (1·72, 1·44 to 2·05) were associated with increased adverse events leading to drug
discontinuation. In a post-hoc analysis, semaglutide, a GLP-1 receptor agonist, showed substantially larger benefits
than other drugs with a similar risk of adverse events as other drugs for both likelihood of weight loss of 5% or more
(OR 9·82, 95% CI 7·09 to 13·61) and percentage bodyweight change (MD −11·41, 95% CI −12·54 to −10·27).",0
"T
he overall effects of electronic cigarettes (ECs) on public health remain disputed, with concerns about EC use
in young people in contrast with the potential of ECs to
help adult smokers quit.1,2 Regarding the function of ECs as
an aid to stopping smoking, ECs can be seen as a form of nicotine replacement therapy (NRT) that is achieving a wider reach
than traditional NRT products, such as nicotine chewing gum
and nicotine patches. In countrieswhere ECs and NRT are available, smokers tend to use ECs for smoking cessation more
widely.3,4Apart from the wider reach, ameta-analysis of 6 randomized clinical trials of ECs vs NRT conducted to date concluded that ECs were also more effective than NRT, although
further trials are needed.5
Next to NRT, the most extensively tested and most widely
used pharmacological aid to stopping smoking is a partial agonist for α4β2 nicotinic acetylcholine receptor, varenicline,
which is also more effective than NRT.6 One study compared
varenicline on its own with varenicline combined with ECs, but
the trial was stopped early when only 46 participants were recruited in each study arm, meaning that the study was underpowered to detect a difference.7 To our knowledge, no study
to date has attempted a direct comparison between ECs and
varenicline.
In this article, we report a randomized clinical trial that
compared ECs and varenicline. The trial also included an NRT
arm. The trial was testing whether ECs are superior to NRT and
noninferior to varenicline. The study was conducted in China,
where access to and use of stop-smoking medications, as well
as ECs, are much lower than inWestern countries.8-12This had
the potential advantages of lower expectancy effects and reduced risk of trial arms contamination via use of nonallocated products, an issue that affected a recent UK trial of ECs
vs NRT as treatments for pregnant smokers.1",0
"Digital transformation and green innovation are powerful initiatives to achieve carbon peaking,
carbon neutrality targets and highquality economic development. Using a sample of high energy
consuming listed enterprises from 2012 to 2021, a double fxedefect model is constructed to
verify the efect of green innovation on the carbon emission reduction performance of high energy
consuming enterprises, and digital transformation is used as a moderating variable to analyze the
inner mechanism of green innovation afecting the carbon emission reduction performance of high
energyconsuming enterprises under the efect of digital transformation. The empirical results show
that green innovation can signifcantly improve the carbon emission reduction performance of
energyconsuming enterprises, while digital transformation positively moderates the efect of green
innovation on the carbon emission reduction performance of energyconsuming enterprises. When
considering the industry heterogeneity, the moderation efect of digital transformation is signifcant
in the chemical raw materials and chemical products manufacturing industry and the electricity
and heat production and supply industry, but the petroleum processing and coking and nuclear fuel
processing industry, the nonmetallic mineral products industry, the ferrous metal smelting and rolling
processing industry and the nonferrous metal smelting and rolling processing industry are not yet
signifcantly afected by green innovation and digital transformation. The fndings of the study provide
empirical evidence to promote the improvement of carbon emission reduction performance of energy
intensive enterprises in China and to achieve the ""double carbon"" target.
Keywords Digital transformation, Green innovation, Energy-intensive enterprises, Carbon reduction
performance
At the 75th session of the United Nations General Assembly in 2020, China solemnly announced that China
would strive to reach peak carbon by 2030 and carbon neutrality by 2060. Te ""double carbon"" target refects
China’s determination to comprehensively implement the concept of green development and promote ecological
civilization1
. Te core of green and low-carbon development is to update and optimise products, processes and
services in line with environmental needs, with a view to allocating and utilising resources efciently, reducing
the damage caused by carbon emissions to the environment and ecology, and providing strong support for China
to achieve the ""double carbon"" target and promote high-quality economic development. What is particularly
noteworthy is that with the acceleration of the new round of technological revolution and industrial change,
digital transformation has become a core driver of new development momentum, an important means to facilitate and promote green development, and a necessary way to achieve the ""double carbon"" target. As the basic
industry of our country, the high energy-consuming industry has made great contribution to the construction
of our country’s industry and infrastructure. But at the same time, it also brings environmental problems that
cannot be ignored. Te most prominent one is ""high pollution, high energy consumption and high material
consumption""2
. Existing research has found that the output value of China’s high-energy-consuming industries
is less than 1/3 of the total industrial output value, but energy consumption, material consumption and waste
emissions account for more than 1/2 of the total industrial emissions3
. As far as China’s carbon emissions are
concerned, energy-intensive enterprises are the main source of carbon emissions and should be the key target of
carbon emission reduction. Terefore, in the context of achieving the ""double carbon"" target and building a new",0
